text_id,n_words,n_tokens,n_nouns,n_verbs,corpus,language
alhayat.20010204.0082,440,330,148,31,UD_Arabic-PADT,Arabic
alhayat.20010207.0075,445,343,139,32,UD_Arabic-PADT,Arabic
alhayat.20010208.0022,439,323,124,30,UD_Arabic-PADT,Arabic
alhayat.20010211.0080,448,328,124,36,UD_Arabic-PADT,Arabic
alhayat.20010214.0068,452,329,139,31,UD_Arabic-PADT,Arabic
alhayat.20010225.0097,455,347,141,33,UD_Arabic-PADT,Arabic
alhayat.20010407.0221,458,347,154,36,UD_Arabic-PADT,Arabic
alhayat.20010417.0149,460,349,131,38,UD_Arabic-PADT,Arabic
alhayat.20010422.0178,452,339,153,37,UD_Arabic-PADT,Arabic
alhayat.20010423.0163,451,343,151,36,UD_Arabic-PADT,Arabic
alhayat.20010425.0156,438,336,145,30,UD_Arabic-PADT,Arabic
alhayat.20010911.0008,433,332,143,37,UD_Arabic-PADT,Arabic
alhayat.20010912.0068,425,299,153,16,UD_Arabic-PADT,Arabic
alhayat.20011007.0087,425,332,148,30,UD_Arabic-PADT,Arabic
alhayat.20011108.0027,432,319,134,26,UD_Arabic-PADT,Arabic
alhayat.20011225.0099,428,328,129,27,UD_Arabic-PADT,Arabic
alhayat.20020116.0063,434,329,125,29,UD_Arabic-PADT,Arabic
annahar.20021101.0005,443,317,126,32,UD_Arabic-PADT,Arabic
annahar.20021130.0096,437,319,130,29,UD_Arabic-PADT,Arabic
assabah.20041005.0017,432,311,128,33,UD_Arabic-PADT,Arabic
assabah.20041013.0022,436,331,118,36,UD_Arabic-PADT,Arabic
assabah.20041020.0001,431,299,127,24,UD_Arabic-PADT,Arabic
assabah.20041022.0016,438,321,143,37,UD_Arabic-PADT,Arabic
ummah.20040407.0003,436,336,144,31,UD_Arabic-PADT,Arabic
ummah.20040407.0013,440,327,125,31,UD_Arabic-PADT,Arabic
ummah.20040407.0026,439,331,150,32,UD_Arabic-PADT,Arabic
ummah.20040531.0006,434,329,140,28,UD_Arabic-PADT,Arabic
ummah.20040531.0013,440,324,134,35,UD_Arabic-PADT,Arabic
ummah.20040628.0050,438,307,135,29,UD_Arabic-PADT,Arabic
ummah.20040705.0001,447,340,146,32,UD_Arabic-PADT,Arabic
ummah.20040705.0011,444,337,147,36,UD_Arabic-PADT,Arabic
ummah.20040705.0017,438,336,148,36,UD_Arabic-PADT,Arabic
ummah.20040715.0010,448,335,130,31,UD_Arabic-PADT,Arabic
ummah.20040715.0019,445,330,143,19,UD_Arabic-PADT,Arabic
ummah.20040715.0027,425,303,123,39,UD_Arabic-PADT,Arabic
ummah.20040715.0033,425,332,160,29,UD_Arabic-PADT,Arabic
ummah.20040715.0039,436,334,150,27,UD_Arabic-PADT,Arabic
ummah.20040726.0012,433,323,133,27,UD_Arabic-PADT,Arabic
ummah.20040726.0031,441,347,134,39,UD_Arabic-PADT,Arabic
ummah.20040726.0053,440,323,127,27,UD_Arabic-PADT,Arabic
ummah.20040726.0064,444,321,139,36,UD_Arabic-PADT,Arabic
ummah.20040726.0071,435,333,144,36,UD_Arabic-PADT,Arabic
ummah.20040809.0062,440,323,132,40,UD_Arabic-PADT,Arabic
ummah.20040809.0076,438,332,129,39,UD_Arabic-PADT,Arabic
ummah.20040819.0026,442,336,138,23,UD_Arabic-PADT,Arabic
ummah.20040819.0034,433,329,136,36,UD_Arabic-PADT,Arabic
ummah.20040906.0001,441,335,148,34,UD_Arabic-PADT,Arabic
ummah.20040906.0010,434,334,141,29,UD_Arabic-PADT,Arabic
ummah.20040906.0014,445,338,135,38,UD_Arabic-PADT,Arabic
xinhua.20030501.0016,430,323,120,34,UD_Arabic-PADT,Arabic
xinhua.20030501.0028,437,320,152,25,UD_Arabic-PADT,Arabic
xinhua.20030501.0042,446,325,144,32,UD_Arabic-PADT,Arabic
xinhua.20030501.0081,444,317,141,26,UD_Arabic-PADT,Arabic
xinhua.20030503.0026,438,322,128,35,UD_Arabic-PADT,Arabic
xinhua.20030503.0037,435,331,143,33,UD_Arabic-PADT,Arabic
xinhua.20030503.0047,438,320,115,35,UD_Arabic-PADT,Arabic
xinhua.20030503.0052,434,326,146,32,UD_Arabic-PADT,Arabic
xinhua.20030503.0126,430,329,148,28,UD_Arabic-PADT,Arabic
xinhua.20030503.0135,425,310,119,29,UD_Arabic-PADT,Arabic
xinhua.20030503.0158,429,317,144,34,UD_Arabic-PADT,Arabic
xinhua.20030503.0166,443,357,162,30,UD_Arabic-PADT,Arabic
xinhua.20030503.0171,444,329,135,29,UD_Arabic-PADT,Arabic
xinhua.20030503.0179,441,312,133,31,UD_Arabic-PADT,Arabic
xinhua.20030503.0183,450,332,151,32,UD_Arabic-PADT,Arabic
xinhua.20030503.0190,446,323,141,30,UD_Arabic-PADT,Arabic
xinhua.20030509.0142,439,334,150,28,UD_Arabic-PADT,Arabic
xinhua.20030509.0153,438,326,128,33,UD_Arabic-PADT,Arabic
xinhua.20030509.0160,436,323,139,31,UD_Arabic-PADT,Arabic
xinhua.20030511.0181,426,322,144,37,UD_Arabic-PADT,Arabic
n01001,32,30,12,3,UD_Arabic-PUD,Arabic
n01002,66,61,12,7,UD_Arabic-PUD,Arabic
n01003,66,59,20,6,UD_Arabic-PUD,Arabic
n01004,24,24,10,4,UD_Arabic-PUD,Arabic
n01005,62,53,19,5,UD_Arabic-PUD,Arabic
n01006,21,21,6,5,UD_Arabic-PUD,Arabic
n01007,22,21,8,0,UD_Arabic-PUD,Arabic
n01008,22,20,6,1,UD_Arabic-PUD,Arabic
n01009,38,37,10,3,UD_Arabic-PUD,Arabic
n01011,58,55,20,6,UD_Arabic-PUD,Arabic
n01012,16,14,3,0,UD_Arabic-PUD,Arabic
n01013,19,18,10,1,UD_Arabic-PUD,Arabic
n01014,38,36,15,5,UD_Arabic-PUD,Arabic
n01015,39,35,13,3,UD_Arabic-PUD,Arabic
n01016,36,32,10,4,UD_Arabic-PUD,Arabic
n01017,36,30,11,1,UD_Arabic-PUD,Arabic
n01018,20,20,5,2,UD_Arabic-PUD,Arabic
n01019,38,34,14,6,UD_Arabic-PUD,Arabic
n01020,41,38,9,3,UD_Arabic-PUD,Arabic
n01021,40,36,11,6,UD_Arabic-PUD,Arabic
n01022,93,79,26,7,UD_Arabic-PUD,Arabic
n01023,48,40,14,5,UD_Arabic-PUD,Arabic
n01024,32,31,12,5,UD_Arabic-PUD,Arabic
n01025,34,31,12,3,UD_Arabic-PUD,Arabic
n01026,35,34,13,4,UD_Arabic-PUD,Arabic
n01027,61,50,16,4,UD_Arabic-PUD,Arabic
n01028,22,20,7,7,UD_Arabic-PUD,Arabic
