corpus,speaker,content,duration,n_vowels
Don,EIV1939,Вот. Кушать есть чего.,2.3710000000000946,6
Don,EIV1939,"Так что, если надумал ты, значит, значит, чтобы все нормально было.",5.2159999999998945,20
Don,EIV1939,"Батюшка освящал и воду, и нас. Вот.",3.970000000000254,12
Don,EIV1939,"А это давай сегодня подъедим"". Вот.",3.964999999999691,12
Don,EIV1939,"[нрзб] играли они: давай если мой победит, мое твое яйцо.",4.920000000000002,19
Don,EIV1939,А когда семь... семьдесят... семьдесят лет когда я жил...,3.942999999999756,15
Don,EIV1939,На землю.,1.0400000000000205,3
Don,EIV1939,Вот. Там дядя мой работал.,3.450000000000003,8
Don,EIV1939,Подходит зима... И этот праздник весенний. Посевать.,5.1340000000000146,16
Don,EIV1939,Как этот говорит по радио... аппарат:,2.830000000000041,13
Don,EIV1939,Сидел на окошечке в подвале.,2.1899999999999977,10
Don,EIV1939,"Вот, Господь воскрес.",1.660000000000025,5
Don,EIV1939,Может и тридцать. До глубины.,3.099999999999909,9
Don,EIV1939,Живет только праведной жизнью для Бога. Да?,3.311000000000149,13
Don,EIV1939,"это... листочки начала выпускать, и вроде как корешки пошли.",4.792999999999665,20
Don,EIV1939,"Вы же проснетесь опять или на Дон или какие-то игры у вас"". Вот.",4.595000000000255,22
Don,EIV1939,"Вот она мне прочитала этот, да я вот это подзабыл... Как она меня.",4.652000000000044,23
Don,EIV1939,У них там были...памятнички какие или камушек...,4,17
Don,EIV1939,"Перекрещиваешь во имя Отца, и Сына, и Святого Духа.",2.993000000000393,20
Don,EIV1939,"Сталин же сказал, у нас пленных нету.",2.9400000000000546,11
Don,EIV1939,Что у вас было.,1.9929999999999384,5
Don,EIV1939,И казаки же переправлялись на ту ст= по мосту же,3.4989999999997963,16
Don,EIV1939,"Или там, какое-то там, корову там это, сглазили или что-то там.",4.860000000000014,22
Don,EIV1939,"Да свадьбу мы-то и не делали ж большую, своих собрали.",4.539999999999964,18
Don,EIV1939,"Ну, она тоже, с родников, откуда... Ну,откуда - кто его знает.",3.799999999999727,20
Don,EIV1939,"с конского хвоста. Толстая была, один крючочек.",4.029999999999973,15
Don,EIV1939,Паром. Две лодки железных и настил был.,3.644999999999982,12
Don,EIV1939,А лучше я тот храм себе заберу.,2.069999999999993,11
Don,EIV1939,"Она... судачок и хватает его. Судак, щука... попадало.",5.141999999999825,19
Don,EIV1939,"Вот. Поблагодарила, и мы пошли к другой.",3.233000000000174,13
Don,EIV1939,"А после Покрова опять, пошло по новой.",5.801000000000386,13
Don,EIV1939,"Вот, крестите.",2.130000000000109,4
Don,EIV1939,вот цветочки. Такой зайдёшь в Храм.,2.5330000000003565,9
Don,EIV1939,"Отец, правда, на работе был.",2.2670000000000528,9
Don,EIV1939,Теперь тебе подобает семь дней...,2.4899999999998954,10
Don,EIV1939,Моя одна одноклассница - Шура Гончарова.,5.307000000000016,15
Don,EIV1939,Колодец же сделали.,1.9680000000000744,7
Don,EIV1939,Приносите баночку или кружечку.,2.4200000000000728,12
Don,EIV1939,любил её до кончины дней своих. Так и я вам советую.,5.794999999999618,19
Don,EIV1939,"Пах-пах-пах-пах, идет колеса.",2.319999999999993,9
Don,EIV1939,Разливов нет,1.5699999999999932,4
Don,EIV1939,Всякая рыбка была.,1.6460000000001855,7
Don,EIV1939,в чайнике как настой.,1.6799999999998363,6
Don,EIV1939,"Поженились, неделю пожили, характером не сошлись.",3.3719999999998436,17
Don,EIV1939,Я с Армии пришел и купил свой дом за 500 рублей.,4.801999999999907,14
Don,EIV1939,"Правда в школу не ходил, долго болел.",3.8769999999999527,11
Don,EIV1939,"Мама, она же замуж вышла.",2.299999999999997,9
Don,EIV1939,Чистое дело.,1.5,5
Don,EIV1939,"Вот особено... У нас... Носовая, вот эта, идёт... Дыхалка, да?",4.393999999999323,20
Don,EIV1939,и вот с лодки рыбалили,4.059999999999945,8
Don,GLT1934,Она меня отвела в больницу.,2.0899999999996908,10
Don,GLT1934,Здесь [нрзб] домик был такой маленький.,3.2040000000001783,9
Don,GLT1934,"И уехал... думаю, я поеду куда-то учиться, что, сорок девятом году.",5.711999999999989,25
Don,GLT1934,"Ну и все, так, нормально.",3.149999999999636,7
Don,GLT1934,И несут.,0.8390000000001692,3
Don,GLT1934,"Поеду-поеду-поеду, а сам все тянет-тянет резину.",3.7299999999999898,19
Don,GLT1934,"Я уже сорок втором году, по-моему, да, сорок втором году пошел в школу.",5.914999999999964,24
Don,GLT1934,А как же?,0.9800000000000182,3
Don,GLT1934,Дядька Жора Васков [нрзб].,2.4399999999999977,6
Don,GLT1934,И она покалечилась.,1.5510000000000446,8
Don,GLT1934,"И, короче, там и с женой познакомился.",2.8479999999999563,13
Don,GLT1934,Нанял я каменщиков.,1.931999999999789,7
Don,GLT1934,"У кого по возможности, вот.",3.826000000000022,9
Don,GLT1934,"А началось как-то, ну, по радио просто там пом= болтали да и все.",6.473999999999933,21
Don,GLT1934,"А хлеб там пекли такой, знаете, вот?",2.7959999999999923,11
Don,GLT1934,"Ну, у меня документы там есть, записано все.",4.1200000000000045,15
Don,GLT1934,"И пышки п= сладкие, и вс= все могла, в общем.",4.0770000000002256,12
Don,GLT1934,А за ними мальчишка идет русский.,3.160999999999831,11
Don,GLT1934,"Короче, гроб сделали.",1.6870000000001255,7
Don,GLT1934,"Пошел, шел-шел, а она далеко живет.",3.4659999999998945,12
Don,GLT1934,Работает.,0.9400000000000048,4
Don,GLT1934,"Старший это, Сережка старший, а Толик -- он это.",5.110000000000127,15
Don,GLT1934,"Идут, и вот идут четыре немца, несут гроб.",4.8129999999998745,14
Don,GLT1934,Я его замыкаю.,1.6020000000000891,7
Don,GLT1934,"Подымались и пошли дальше, она табуретку забирает.",3.288000000000011,19
Don,GLT1934,"что нет, такого не было, говорит не= в конторе там, не работал.",4.2879999999999825,20
Don,GLT1934,"Забор, тут все это я уже сам попеределал.",2.813000000000102,15
Don,GLT1934,"По своему, Детское село-то.",1.7540000000003602,10
Don,GLT1934,А мы остались.,1.1520000000000437,5
Don,GLT1934,Что я в школу не стал ходить.,2.025000000000091,8
Don,GLT1934,Она решила уехать...,2.4799999999999898,8
Don,GLT1934,Может завалиться.,1.5700000000001637,6
Don,GLT1934,"Ну они, ну, что им, по восемнадцать лет.",2.923000000000002,12
Don,GLT1934,Сети поставим вечером.,1.836999999999989,8
Don,GLT1934,"А он в тридцать седьмом году родился, брат.",5.58,12
Don,GLT1934,"Ну, короче, и вот она, май месяц приходит, она...",4.829999999999927,16
Don,GLT1934,Или ячмень или что.,1.6059999999999943,7
Don,GLT1934,"А, он так и...",2.210999999999786,4
Don,GLT1934,Богатый и все такое вот.,2.8100000000000023,9
Don,GLT1934,А я столярный.,2.262000000000171,5
Don,GLT1934,Как-то не очень.,1.4829999999999472,5
Don,GLT1934,Дорожки или...,2.1269999999999527,5
Don,GLT1934,"А потом, когда пошел, думаешь, что это за Детское село такое, не знаю.",3.905999999999949,25
Don,GLT1934,А она пришла к мужу [нрзб].,1.9320000000000164,7
Don,GLT1934,"Мамка, здесь вот, именно на этом месте родилась...",5.350000000000001,15
Don,GLT1934,"И вот, как я шел, где я шел, не знаю.",2.3050000000000637,11
Don,GLT1934,В этот...На Кавказ.,2,5
Don,GLT1934,"Я говорю: ну как же, ну т=. Ну, короче, уговорил он меня.",4.4229999999997744,19
Don,GLT1934,Пойдем ко мне.,1.058999999999969,4
Don,GLT1934,А я подрастаю-подрастаю и...,2.788000000000011,11
Don,SVS1939,В наше время...,0.92999999999995,4
Don,SVS1939,Ходили... Снега были вот такие вот.,2.740000000000009,12
Don,SVS1939,"А были дни особые какие-то, блинные? Вот, к кому ходить? Что носить?",4.539999999999964,23
Don,SVS1939,"Хороший дом, двухэтажный, да.",2.25,9
Don,SVS1939,"Пускали, пускали.",1.389999999999873,6
Don,SVS1939,У нас мама варила дрожжи сама,2.2899999999999636,11
Don,SVS1939,"Разобрали, растощовили это ещё. Ну, послевоенные годы, я не скажу, а...",6,27
Don,SVS1939,"Ну, обычно кто как праздновал. Люди празднуют это Крещение, водосвятие обычно же в церкви-то бывает на Крещение, да",9.170000000000073,41
Don,SVS1939,А в сундуке ничего. А чё в сундуке будет? Это надо...,4.660000000000082,18
Don,SVS1939,Не-а,1.0499999999999543,2
Don,SVS1939,"Ну, обычно готовили",1.5599999999999454,8
Don,SVS1939,"Да, в Мелеховской школе, у нас там...",2.460000000000001,10
Don,SVS1939,"Шамп=, ну, то шампанское, то... Это уже в последние годы пошло. А то так же: вино",6.809999999999945,26
Don,SVS1939,Да,0.6899999999998272,1
Don,SVS1939,То каких-нибудь этих,2.3999999999998636,7
Don,SVS1939,"А кто что подарит. Кто богатый, кто небогатый.",4.330000000000041,15
Don,SVS1939,"Кто-то не боится, дома рожает по сколько детей.",3.1200000000000045,16
Don,SVS1939,"И у меня спрашивают: ""Ты согласна?""",2.4700000000000273,12
Don,SVS1939,"[неразбр] Типо того, что хозяин тут жил очень богатый.",3.2199999999999136,17
Don,SVS1939,Они их ссылали.,2.189999999999941,6
Don,SVS1939,"А вот после... после... крещ=, эм",4.180000000000064,8
Don,SVS1939,"...воспойте, людие, яко прославися.",2.2799999999999727,12
Don,SVS1939,"Да также делали, также.",1.5299999999999727,8
Don,SVS1939,"Ну, пост есть пост. Это полтора месяца под Пасху. Пост",4.980000000000018,16
Don,SVS1939,На простокваше,1.25,5
Don,SVS1939,"Отрез: то на платье отрез, то на кофточку отрез. Как у меня была вот эта...",5.769999999999982,24
Don,SVS1939,Вот.,0.18000000000006366,1
Don,SVS1939,"Там милиция, да?",1.1599999999999682,6
Don,SVS1939,Она переворачивает [НРЗБ],2.2100000000000364,9
Don,SVS1939,"А второй день, как они считали...",2.9600000000000364,10
Don,SVS1939,И я тут родилась.,1.3099999999999454,6
Don,SVS1939,Преображение бывает.,1.460000000000008,9
Don,SVS1939,"Отца-то не было. Конечно, дали. Согласие было же.",4.019999999999982,18
Don,SVS1939,Так-так больше...,1.389999999999873,4
Don,SVS1939,"Ну жених и мать. Там отец есть, там тётка или",3.269999999999982,14
Don,SVS1939,А потом распивали,2.8700000000001182,7
Don,SVS1939,Дети ходили.,1.0600000000001728,5
Don,SVS1939,Ну сами делали печенье.,1.650000000000091,9
Don,SVS1939,У кого сколько денег было.,1.6400000000001,9
Don,SVS1939,Были. Две бутылки,1.9299999999998363,6
Don,SVS1939,"Ну, ну сколько? Ну может, лет по десять, по одиннадцать было. Бега= бегали тушить.",7,25
Don,SVS1939,"Да, а денег нету. А кто пускает? Никто.",3.930000000000007,13
Don,SVS1939,"Помню хорошо, да. Были вот...",2.490000000000009,9
Don,SVS1939,"Заходили, да. [Жениха вот...]",1.7999999999999543,9
Don,SVS1939,"[О, хозяйку нашла, Жужа.]",2.8899999999999864,8
Don,SVS1939,"Ну, как, нас было трое:",2.1000000000000014,7
Don,SVS1939,От жениха друзья.,1.5799999999999272,6
Don,SVS1939,А мы что? В двадцать один.,1.6200000000000043,7
Don,SVS1939,"Кто сажает, кто не сажает.",1.59699999999998,9
Don,SVS1939,"Наш бог ради родися младо, Превечный Бог.",2.9700000000000273,13
Don,TNG1957,Нет.,0.5130000000008295,1
Don,TNG1957,"Ну, где-то полчаса.",1.346000000001368,6
Don,TNG1957,"Кофе попьете, я поставлю?",1.5800000000008367,9
Don,TNG1957,У нас тут готовят на столы,1.6799999999993815,9
Don,TNG1957,Поэтому вот родители заранее.,3.4729999999999563,13
Don,TNG1957,В основном свадьбы делались в субботу.,1.8939999999993231,11
Don,TNG1957,А на фоне вот тех.,1.386000000000422,6
Don,TNG1957,"Ну вот, как только молодые сели, вот.",2.650000000000091,12
Don,TNG1957,"Да. Поэтому, я ж говорю",2.092999999999847,9
Don,TNG1957,"Сыром посыпают, маслом поливают.",7.630000000000109,12
Don,TNG1957,Так что вот такие-то вот это самое.,2.219999999999345,13
Don,TNG1957,"А там вот ты пришел, а называешь фамилию, карточку твою ищут, а кто не успел прийти",4.079999999999927,29
Don,TNG1957,Сразу говорили.,1.2130000000006476,6
Don,TNG1957,"У него был язык, а механик был.",1.7399999999997815,11
Don,TNG1957,Да.,0.5599999999994907,1
Don,TNG1957,Вот так вот [нрзб].,2.8200000000006185,3
Don,TNG1957,А сейчас потихонечку поехали так вот.,2.0739999999996144,14
Don,TNG1957,Спасибо партии родной за такую ласку.,2.206999999999425,14
Don,TNG1957,Грузись.,1.01299999999992,2
Don,TNG1957,Дай лисицу.,1.300000000000182,4
Don,TNG1957,А Яночка да тихая была.,3.4100000000003092,10
Don,TNG1957,Делала так и вот так вот завяжет его.,2.706000000000131,13
Don,TNG1957,И я поехала.,1.1269999999999527,6
Don,TNG1957,Вот как со школы спускаешься идти в парк.,2.660000000000011,12
Don,TNG1957,"Как, стараются, чтоб без косточки, и еще вот я смотрела.",3.820000000000164,18
Don,TNG1957,"Ну вот, дом культуры.",1.2200000000002549,6
Don,TNG1957,"Посадили невесту под святыми, начинают.",2.769999999999982,15
Don,TNG1957,"Чи под святками, нет, не под святками.",2.5900000000001455,11
Don,TNG1957,"задрали собаки, и я ее с пипетки кормила.",3.3599999999996726,16
Don,TNG1957,"Туда-обратно, говорю, нам",1.6199999999998909,9
Don,TNG1957,И невестина родня.,3.286000000000058,7
Don,TNG1957,"Ну так вот баба, она ж более",2.2399999999997817,10
Don,TNG1957,И вот он ночью строго на улицу.,1.9600000000000364,11
Don,TNG1957,"Ой, ну это уж потом попридумали.",2.902999999999338,12
Don,TNG1957,Каравай сам по себе круглый.,1.9099999999998545,9
Don,TNG1957,"вернее как, по старым обычаям нет.",2.266999999999826,12
Don,TNG1957,"Видят, что кондиция.",1.2799999999997451,7
Don,TNG1957,"Я астматик, поэтому аллегетик, поэтому как бы это.",3.312999999999647,20
Don,TNG1957,"Ага, а до этого как-то сидели на работе, а девчата и говорят: а что там говорите батюшке, не будешь же ему про все свои",6.706999999999425,44
Don,TNG1957,"Он язык подвесил: ля-ля-ля. Гляжу, она",3.594000000000051,13
Don,TNG1957,"Кто подушки, кто вот так вот телепал там какой-нибудь тряпкой.",5.810000000000002,18
Don,TNG1957,Это я вам расскажу.,1.169999999999959,7
Don,TNG1957,У меня дочка младшая.,1.4729999999999563,8
Don,TNG1957,"Я сегодня напишу, говорю, может, попробуем, может, попробуете сюда [нрзб].",4.587000000000444,25
Don,TNG1957,А Пономаренко вкручала нам дипломы.,3.0729999999998654,13
Don,TNG1957,Женщина замужняя.,1.4200000000000728,7
Don,TNG1957,бабушка говорит.,1.0260000000007494,6
Don,TNG1957,"Да где ж ты есть. Наверное, что-то есть.",2.8999999999998636,11
Don,TNG1957,"Это вот вам показывается, как это делается.",2.5529999999998836,17
Don,TNG1957,Чтоб подписала зарплату.,1.387000000000171,8
Don,VIK1941,"а брат ловит рыбку на хлысточку, и целый бидончик наловит жирячков,",5.8969999999999345,22
Don,VIK1941,"послезавтра Лизе, Зое, Наде, а себе уж потом остаётся день.",9.125,21
Don,VIK1941,"да от Ростова шестьдесят кило́метров, там какой-то посёлок.",6.467000000000553,19
Don,VIK1941,"Уткам дала, маленьким цыплятам сейчас, курям, маленьким цыплятам, большим цыплятам, курям большим.",7.766999999999825,29
Don,VIK1941,"прямо в степи там у них и чугун,",3.5670000000000073,10
Don,VIK1941,"И вот мы поливаем с бабушкой, я и бабушка,",4.648000000000138,15
Don,VIK1941,Нет до лба.,1.3520000000000325,3
Don,VIK1941,"Вот как пока вода сойдёт,",3.7340000000003783,8
Don,VIK1941,"Полянка, там твои Верочка с Володею пришли молоть зерно,",5.766999999999825,19
Don,VIK1941,"Вот как в колхозе было, раньше-то было как.",3.227000000000089,13
Don,VIK1941,"Да никто, кто там помогал.",1.8849999999997635,8
Don,VIK1941,Невестка.,2.3729999999995925,3
Don,VIK1941,"кто в колхоз, кто в лесхоз, ну в колхозе-то за палочки работали,",5.563000000000102,19
Don,VIK1941,"А до этого ещё в двери же бьют, ещё надо",2.9329999999999927,15
Don,VIK1941,"Баба, как зайдём в квартиру, так и будет внучек тебе, правнучек тебе,",7.317000000000007,21
Don,VIK1941,чтобы они всё знали.,2.0339999999996508,7
Don,VIK1941,"вы не надо вы мне, и не приходите.",3.76700000000028,12
Don,VIK1941,"у неё трое детей, и сама трошки она после менингита, не норма у неё, конечно.",7.717000000000098,29
Don,VIK1941,"Бабушка рассказывала, маме свадьбу не играли, потому что мама вышла замуж, бабушка сидела, свекруха,",6.943000000000211,35
Don,VIK1941,так что не совсем мы голодали-то дюже.,3.4320000000000164,13
Don,VIK1941,"Ну, и этим надо же чего-то дать. Вот так вот.",5.7159999999998945,14
Don,VIK1941,"Ну когда пугается дитё. И тогда кричит, и кричит, и кричит. Ну.",5.403999999999996,21
Don,VIK1941,"А двое, трое, да у неё уж трое детей, а это вот тут четвёртый,",7.033999999999651,22
Don,VIK1941,Песик .,0.7119999999995343,2
Don,VIK1941,"Или так: если на свадьбу не пригласите, значит, молодые живы не приедут,",4.166999999999462,25
Don,VIK1941,"Ну всё обходилось, бабка, там бабка.",4.864000000000033,11
Don,VIK1941,"росли, такие вот, это там меленькие-меленькие. Да чистим целый день, чистим, да едим.",5.175000000000011,28
Don,VIK1941,А как же.,1.699999999999818,3
Don,VIK1941,"сколько ребятам на рубахи, сколько на брюки. Вот всё покупает и шьёт сама,",6.300000000000182,24
Don,VIK1941,"баба, как ты там, баба, я хоть твой голосочек услышу.",3.833000000000084,17
Don,VIK1941,А потом ещё за́тирку варили же.,2.293999999999869,12
Don,VIK1941,"А потом же хлеб стали давать по карточкам, я карточку потеряла.",5.25,21
Don,VIK1941,"а сколько же нас душ, четверо было, по двести или по триста грамм хлеба давали.",6.682000000000016,25
Don,VIK1941,"а Володя же остался, за ним был, а я уж последняя. Трое же нас было.",9.443000000000213,24
Don,VIK1941,"Вот у меня колодец, у нас вот колодец,",3.9400000000000546,13
Don,VIK1941,"Нет, раньше не называли, нет, нет,",5.099999999999909,10
Don,VIK1941,"Сейчас все лагеря обойду, зелени накидаю. Травы-то уж нет.",4.7150000000001455,21
Don,VIK1941,Копали корни.,2.0589999999999975,5
Don,VIK1941,"Ну а мамке уже ж рассказали, что он домой-то по неделе не приходит, и потом мы его иной раз и на выходные не видим.",7.363999999999919,41
Don,VIK1941,"Бедовая бабка была, бедовая была.",5,14
Don,VIK1941,"а ягода, а ягода на тарелочке.",3.80199999999968,13
Don,VIK1941,"Ну вот поехал на квартиру зарабатывать, на шесть месяцев.",4.900000000000091,19
Don,VIK1941,"Уже головёнка показалась, а она опять на ведро садится.",3.983999999999923,21
Don,VIK1941,"А как же, а как же, да пора же, уж прошло сколько лет, господи милостливый.",5.6469999999999345,23
Don,VIK1941,"Вот такие бугры, и там кругом сады. Как на них можно лазить.",4.182999999999993,19
Don,VIK1941,"Вот подошёл, набрал, пошёл, и никаких, по ровному, ровно, везде ровно.",7.052000000000135,22
Don,VIK1941,"Не всем же их давали, а только в колхозе трактористы, комбайнёры, вот таким.",7.533999999999992,24
Don,VIK1941,"Храбрый поезд это же вот поедет храбрый поезд, венчаться же поедут они.",4.6850000000004,24
