doc_id,pos,pos2,type
doc1,VERB,SCONJ,ham
doc1,SCONJ,VERB,ham
doc1,VERB,NOUN,ham
doc1,NOUN,PUNCT,ham
doc1,PUNCT,ADJ,ham
doc1,ADJ,PUNCT,ham
doc1,PUNCT,ADJ,ham
doc1,ADJ,ADV,ham
doc1,ADV,ADP,ham
doc1,ADP,NOUN,ham
doc1,NOUN,CCONJ,ham
doc1,CCONJ,ADJ,ham
doc1,ADJ,NOUN,ham
doc1,NOUN,NOUN,ham
doc1,NOUN,NOUN,ham
doc1,NOUN,NOUN,ham
doc1,NOUN,PUNCT,ham
doc1,PUNCT,PROPN,ham
doc1,PROPN,ADV,ham
doc1,ADV,VERB,ham
doc1,VERB,ADJ,ham
doc1,ADJ,NOUN,ham
doc1,NOUN,PUNCT,ham
doc1,PUNCT,NA,ham
doc2,ADJ,NOUN,ham
doc2,NOUN,PUNCT,ham
doc2,PUNCT,VERB,ham
doc2,VERB,NOUN,ham
doc2,NOUN,NOUN,ham
doc2,NOUN,ADV,ham
doc2,ADV,PUNCT,ham
doc2,PUNCT,NA,ham
doc3,ADJ,NOUN,spam
doc3,NOUN,ADP,spam
doc3,ADP,NUM,spam
doc3,NUM,DET,spam
doc3,DET,ADJ,spam
doc3,ADJ,NOUN,spam
doc3,NOUN,PART,spam
doc3,PART,VERB,spam
doc3,VERB,PROPN,spam
doc3,PROPN,PROPN,spam
doc3,PROPN,ADJ,spam
doc3,ADJ,NOUN,spam
doc3,NOUN,NOUN,spam
doc3,NOUN,PROPN,spam
doc3,PROPN,NUM,spam
doc3,NUM,PUNCT,spam
doc3,PUNCT,PROPN,spam
doc3,PROPN,PROPN,spam
doc3,PROPN,ADP,spam
doc3,ADP,NUM,spam
doc3,NUM,PART,spam
doc3,PART,VERB,spam
doc3,VERB,NOUN,spam
doc3,NOUN,NOUN,spam
doc3,NOUN,PUNCT,spam
doc3,PUNCT,VERB,spam
doc3,VERB,ADP,spam
doc3,ADP,NOUN,spam
doc3,NOUN,PUNCT,spam
doc3,PUNCT,PROPN,spam
doc3,PROPN,CCONJ,spam
doc3,CCONJ,PROPN,spam
doc3,PROPN,PART,spam
doc3,PART,VERB,spam
doc3,VERB,ADP,spam
doc3,ADP,NOUN,spam
doc3,NOUN,NA,spam
doc4,PRON,NOUN,ham
doc4,NOUN,VERB,ham
doc4,VERB,ADV,ham
doc4,ADV,ADJ,ham
doc4,ADJ,NOUN,ham
doc4,NOUN,PUNCT,ham
doc4,PUNCT,PRON,ham
doc4,PRON,NOUN,ham
doc4,NOUN,ADV,ham
doc4,ADV,ADV,ham
doc4,ADV,VERB,ham
doc4,VERB,PUNCT,ham
doc4,PUNCT,NA,ham
doc5,INTJ,PRON,ham
doc5,PRON,AUX,ham
doc5,AUX,PART,ham
doc5,PART,VERB,ham
doc5,VERB,PRON,ham
doc5,PRON,VERB,ham
doc5,VERB,PART,ham
doc5,PART,VERB,ham
doc5,VERB,PUNCT,ham
doc5,PUNCT,PRON,ham
doc5,PRON,VERB,ham
doc5,VERB,ADP,ham
doc5,ADP,ADV,ham
doc5,ADV,ADV,ham
doc5,ADV,NA,ham
doc6,PROPN,INTJ,spam
doc6,INTJ,ADV,spam
doc6,ADV,VERB,spam
doc6,VERB,PRON,spam
doc6,PRON,AUX,spam
doc6,AUX,AUX,spam
doc6,AUX,NUM,spam
doc6,NUM,NOUN,spam
doc6,NOUN,PART,spam
doc6,PART,ADV,spam
doc6,ADV,CCONJ,spam
doc6,CCONJ,DET,spam
doc6,DET,NOUN,spam
doc6,NOUN,ADV,spam
doc6,ADV,PUNCT,spam
doc6,PUNCT,PRON,spam
doc6,PRON,AUX,spam
doc6,AUX,VERB,spam
doc6,VERB,DET,spam
doc6,DET,NOUN,spam
doc6,NOUN,PRON,spam
doc6,PRON,VERB,spam
doc6,VERB,ADP,spam
doc6,ADP,PRON,spam
doc6,PRON,ADV,spam
doc6,ADV,PUNCT,spam
doc6,PUNCT,X,spam
doc6,X,ADJ,spam
doc6,ADJ,PUNCT,spam
doc6,PUNCT,SYM,spam
doc6,SYM,VERB,spam
doc6,VERB,NOUN,spam
doc6,NOUN,PART,spam
doc6,PART,VERB,spam
doc6,VERB,PUNCT,spam
doc6,PUNCT,NUM,spam
doc6,NUM,ADP,spam
doc6,ADP,X,spam
doc6,X,NA,spam
doc7,ADV,PRON,ham
doc7,PRON,NOUN,ham
doc7,NOUN,AUX,ham
doc7,AUX,PART,ham
